symbol,contract,target_price,multiplier,tick_size,inverse,initial_margin,maint_margin,maker_fee,taker_fee
XBTUSD,XBTUSD,1029050,100,50,TRUE,0.01,0.005,-0.00025,0.00075
XBT1,XBTU19,1035500,100,50,TRUE,0.01,0.005,-0.00025,0.00075
ETHUSD,ETHUSD,18810,100,5,FALSE,0.02,0.01,-0.00025,0.00075
ADAXBT,ADAU19,457,1.00E+08,1,FALSE,0.05,0.025,-0.0005,0.0025
BCHXBT,BCHU19,3034000,1.00E+08,1000,FALSE,0.05,0.025,-0.0005,0.0025
EOSXBT,EOSU19,34960,1.00E+08,10,FALSE,0.05,0.025,-0.0005,0.0025
ETHXBT,ETHU19,1814000,1.00E+08,1000,FALSE,0.05,0.025,-0.0005,0.0025
LTCXBT,LTCU19,732500,1.00E+08,500,FALSE,0.05,0.025,-0.0005,0.0025
TRXXBT,TRXU19,167,1.00E+08,1,FALSE,0.05,0.025,-0.0005,0.0025
XRPXBT,XRPU19,2541,1.00E+08,1,FALSE,0.05,0.025,-0.0005,0.0025